id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
447626,602766,plantae,Carpobrotus,https://minka-sdg.org/attachments/local_photos/files/602766/medium.jpeg,xasalva,41.2650066438,1.9843805471,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447626_602766.jpg
447625,602764,plantae,Cyperus capitatus,https://minka-sdg.org/attachments/local_photos/files/602764/medium.jpeg,xasalva,41.2650221112,1.9842862806,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447625_602764.jpg
447624,602763,arachnida,Synema globosum,https://minka-sdg.org/attachments/local_photos/files/602763/medium.jpeg,xasalva,41.2650221112,1.9842862806,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447624_602763.jpg
447623,602760,insecta,Polyommatus icarus,https://minka-sdg.org/attachments/local_photos/files/602760/medium.jpeg,xasalva,41.2650221112,1.9842862806,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447623_602760.jpg
447623,602762,insecta,Polyommatus icarus,https://minka-sdg.org/attachments/local_photos/files/602762/medium.jpeg,xasalva,41.2650221112,1.9842862806,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447623_602762.jpg
447623,602761,insecta,Polyommatus icarus,https://minka-sdg.org/attachments/local_photos/files/602761/medium.jpeg,xasalva,41.2650221112,1.9842862806,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447623_602761.jpg
447622,602757,plantae,Pinus,https://minka-sdg.org/attachments/local_photos/files/602757/medium.jpeg,xasalva,41.2649888025,1.9847325993,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447622_602757.jpg
447621,602756,plantae,Centaurea aspera,https://minka-sdg.org/attachments/local_photos/files/602756/medium.jpeg,xasalva,41.2650378055,1.9848384285,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447621_602756.jpg
447620,602755,plantae,Carpobrotus,https://minka-sdg.org/attachments/local_photos/files/602755/medium.jpeg,xasalva,41.2649978492,1.9849313282,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447620_602755.jpg
447594,602718,plantae,Carpobrotus,https://minka-sdg.org/attachments/local_photos/files/602718/medium.jpeg,xasalva,41.265044229,1.9855115432,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447594_602718.jpg
447590,602714,plantae,Carpobrotus acinaciformis,https://minka-sdg.org/attachments/local_photos/files/602714/medium.jpeg,xasalva,41.2650387436,1.9855905072,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447590_602714.jpg
447584,602707,plantae,Pancratium maritimum,https://minka-sdg.org/attachments/local_photos/files/602707/medium.jpeg,xasalva,41.2649470608,1.9888756348,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447584_602707.jpg
447583,602704,insecta,Nomada agrestis,https://minka-sdg.org/attachments/local_photos/files/602704/medium.jpeg,xasalva,41.2649470608,1.9888756348,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447583_602704.jpg
